Area_code,Area_name,Pop_Mid_2020,Area_(sq_km),2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 
E07000011,Huntingdonshire,"178,985",906,198,0.074,"30,649","30,512","261,500"
E07000120,Hyndburn,"81,133",73,"1,111",0.182,"20,959","30,040","105,000"
E07000202,Ipswich,"135,979",40,"3,442",0.141,"34,607","27,707","200,000"
E06000046,Isle of Wight,"142,296",380,375,0.138,"22,468","27,335","220,000"
E09000019,Islington,"248,115",15,"16,699",0.179,"84,662","41,624","625,000"
E09000020,Kensington and Chelsea,"156,864",12,"12,939",0.117,"68,972","34,715","1,250,000"
E07000153,Kettering,,,,,,,
E07000146,King's Lynn and West Norfolk,"151,245","1,440",105,0.12,"23,786","28,981","224,000"
E06000010,"Kingston upon Hull, City of","259,126",72,"3,620",0.227,"27,201","28,231","114,825"
E09000021,Kingston upon Thames,"179,142",37,"4,808",0.078,"34,270","35,279","494,000"
E08000034,Kirklees,"441,290",409,"1,080",0.143,"20,736","27,597","150,000"
E08000011,Knowsley,"152,452",87,"1,762",0.251,"28,125","35,746","130,000"
E09000022,Lambeth,"321,813",27,"12,005",0.153,"43,056","38,698","510,000"
E08000035,Leeds,"798,786",552,"1,448",0.143,"37,937","30,382","187,000"
E06000016,Leicester,"354,036",73,"4,827",0.196,"28,410","28,555","180,000"
E09000023,Lewisham,"305,309",35,"8,687",0.164,"15,837","34,886","425,000"
E07000194,Lichfield,"105,637",331,319,0.084,"26,133","26,956","240,000"
E07000138,Lincoln,"100,049",36,"2,803",0.155,"31,924","28,798","157,000"
E08000012,Liverpool,"500,474",112,"4,475",0.235,"30,508","32,044","136,000"
E06000032,Luton,"213,528",43,"4,925",0.155,"33,732","33,804","252,000"
E07000110,Maidstone,"173,132",393,440,0.095,"29,999","31,495","300,000"
E07000074,Maldon,"65,401",358,183,0.086,"20,816","27,500","315,000"
E07000235,Malvern Hills,"79,445",577,138,0.092,"25,480","22,812","262,500"
E08000003,Manchester,"555,741",116,"4,805",0.219,"47,891","31,623","179,665"
E07000174,Mansfield,"109,351",77,"1,426",0.156,"18,904","24,887","138,000"
E06000035,Medway,"279,142",194,"1,441",0.134,"24,401","33,037","248,000"
E07000187,Mendip,"116,288",739,157,0.099,"23,306","28,038","260,000"
E09000024,Merton,"206,453",38,"5,487",0.1,"32,597","34,191","487,000"
E07000042,Mid Devon,"83,290",913,91,0.093,"20,429","26,462","240,000"
E07000203,Mid Suffolk,"104,857",871,120,0.071,"24,781","30,694","252,750"
E07000228,Mid Sussex,"152,142",334,455,0.053,"26,725","29,705","370,000"
E06000002,Middlesbrough,"141,285",54,"2,622",0.251,"24,697","27,005","120,000"
E06000042,Milton Keynes,"270,203",309,876,0.111,"57,824","33,498","270,000"
E07000210,Mole Valley,"87,547",258,339,0.054,"53,409","35,045","525,000"
E07000091,New Forest,"179,649",752,239,0.077,"29,841","33,085","334,000"
E07000195,Newcastle-under-Lyme,"129,610",211,614,0.108,"20,425","25,697","154,000"
E08000021,Newcastle upon Tyne,"306,824",113,"2,704",0.178,"34,577","29,886","160,000"
E07000043,North Devon,"98,170","1,086",90,0.11,"26,765","25,430","242,500"
E07000038,North East Derbyshire,"102,216",276,371,0.112,"17,940","26,637","188,000"
E06000012,North East Lincolnshire,"159,364",193,827,0.19,"23,815","26,237","133,000"
E07000099,North Hertfordshire,"133,463",375,356,0.079,"31,739","32,926","352,000"
E07000139,North Kesteven,"118,149",922,128,0.081,"24,248","29,104","196,250"
E07000147,North Norfolk,"105,167",966,109,0.106,"18,671","28,678","259,450"
E06000024,North Somerset,"215,574",374,577,0.101,"24,937","28,080","263,000"
E08000022,North Tyneside,"208,871",82,"2,537",0.144,"25,336","27,326","160,000"
E07000218,North Warwickshire,"65,452",284,230,0.097,"51,844","29,235","201,000"
E07000134,North West Leicestershire,"104,809",279,375,0.09,"41,153","28,971","202,750"
E07000154,Northampton,,,,,,,
E06000057,Northumberland,"323,820","5,020",65,0.126,"19,464","27,292","153,000"
E07000148,Norwich,"142,177",39,"3,644",0.163,"33,019","28,500","199,250"
E06000018,Nottingham,"337,098",75,"4,518",0.199,"35,010","28,372","145,000"
E07000219,Nuneaton and Bedworth,"130,373",79,"1,651",0.136,"20,495","25,037","175,500"
E07000135,Oadby and Wigston,"57,313",24,"2,436",0.086,"17,440","24,751","220,000"
E08000004,Oldham,"237,628",142,"1,669",0.193,"20,380","27,396","137,000"
E07000178,Oxford,"151,584",46,"3,324",0.093,"48,030","35,037","400,000"
E07000122,Pendle,"92,145",169,544,0.168,"23,415","23,458","109,000"
E06000031,Peterborough,"202,626",343,590,0.156,"36,513","29,940","191,000"
E06000026,Plymouth,"262,839",80,"3,292",0.148,"25,236","29,189","180,000"
E06000044,Portsmouth,"214,692",40,"5,315",0.134,"31,681","31,392","220,000"
E06000038,Reading,"160,337",40,"3,969",0.114,"58,501","33,908","300,000"
E06000003,Redcar and Cleveland,"137,228",245,560,0.186,"16,306","25,945","127,425"
E07000236,Redditch,"85,568",54,"1,577",0.124,"29,423","26,734","208,500"
E07000211,Reigate and Banstead,"149,243",129,"1,156",0.067,"42,951","34,660","417,000"
E07000124,Ribble Valley,"62,026",583,106,0.057,"31,574","38,326","215,000"
E09000027,Richmond upon Thames,"198,141",57,"3,452",0.064,"43,611","36,177","665,000"
E07000166,Richmondshire,"53,732","1,319",41,0.059,"20,276","25,548","200,000"
E08000005,Rochdale,"223,659",158,"1,414",0.201,"20,093","25,993","140,000"
E07000075,Rochford,"87,627",167,524,0.073,"17,861","28,745","330,000"
E07000125,Rossendale,"71,432",138,517,0.145,"17,516","26,156","140,000"
E08000018,Rotherham,"264,984",287,925,0.168,"21,832","27,903","140,000"
E07000220,Rugby,"110,650",351,315,0.087,"31,283","34,280","225,000"
E07000212,Runnymede,"90,327",78,"1,157",0.066,"75,317","42,077","417,500"
E07000176,Rushcliffe,"121,416",409,297,0.059,"27,729","30,153","267,000"
E07000092,Rushmoor,"94,387",39,"2,417",0.104,"56,852","36,631","300,000"
E06000017,Rutland,"40,476",382,106,0.056,"22,455","30,313","308,000"
E07000167,Ryedale,"55,629","1,507",37,0.082,"28,464","24,887","222,375"
E08000006,Salford,"262,697",97,"2,703",0.191,"34,205","32,366","165,000"
E08000028,Sandwell,"329,042",86,"3,846",0.215,"23,231","27,828","155,000"
E07000168,Scarborough,"108,737",816,133,0.145,"22,748","26,060","163,750"
E07000188,Sedgemoor,"123,446",564,219,0.117,"25,385","25,202","220,000"
E08000014,Sefton,"275,899",157,"1,762",0.162,"18,327","27,458","174,725"
E07000169,Selby,"91,697",599,153,0.079,"29,844","29,273","195,000"
E07000111,Sevenoaks,"121,387",369,329,0.075,"38,422","32,975","420,000"
E08000019,Sheffield,"589,214",368,"1,601",0.156,"25,315","29,016","165,000"
E06000051,Shropshire,"325,415","3,197",102,0.096,"22,508","28,424","218,000"
E06000039,Slough,"149,577",33,"4,596",0.126,"59,307","35,289","325,000"
E08000029,Solihull,"217,487",178,"1,220",0.108,"51,751","30,863","282,504"
E07000012,South Cambridgeshire,"160,904",902,178,0.056,"37,079","37,028","355,000"
E07000039,South Derbyshire,"109,516",338,324,0.083,"30,355","29,497","181,500"
E06000025,South Gloucestershire,"287,816",497,579,0.074,"46,947","34,970","270,000"
E07000044,South Hams,"87,946",887,99,0.087,"27,025","26,401","315,000"
E07000140,South Holland,"95,857",750,128,0.103,"26,151","26,443","190,000"
E07000141,South Kesteven,"143,225",943,152,0.091,"23,392","27,352","215,000"
E07000031,South Lakeland,"104,905","1,535",68,0.063,"29,032","24,762","240,000"
E07000149,South Norfolk,"143,066",908,158,0.078,"23,405","29,139","248,000"
E07000155,South Northamptonshire,,,,,,,
E07000179,South Oxfordshire,"143,782",679,212,0.054,"33,105","32,318","387,000"
E07000126,South Ribble,"111,086",113,982,0.091,"37,636","30,782","162,250"
E07000189,South Somerset,"168,696",959,176,0.095,"25,929","29,129","225,000"
E07000196,South Staffordshire,"112,369",407,276,0.086,"20,998","29,834","230,000"
E06000045,Southampton,"252,872",50,"5,070",0.135,"34,407","32,445","220,000"
E06000033,Southend-on-Sea,"182,773",42,"4,386",0.144,"20,238","27,641","295,000"
E09000028,Southwark,"320,017",29,"11,082",0.162,"70,829","43,657","510,000"
E07000213,Spelthorne,"99,873",45,"2,225",0.079,"38,383","32,323","400,000"
E07000240,St Albans,"149,317",161,926,0.06,"35,073","33,817","540,000"
E08000013,St. Helens,"181,095",136,"1,328",0.182,"18,695","27,150","133,000"
E07000197,Stafford,"137,858",598,230,0.078,"26,742","30,050","198,000"
E07000198,Staffordshire Moorlands,"98,427",576,171,0.084,"19,661","28,520","180,000"
E08000007,Stockport,"294,197",126,"2,334",0.12,"26,589","29,132","232,500"
E06000004,Stockton-on-Tees,"197,419",205,963,0.164,"28,931","30,537","139,950"
