Total owed a prevention or relief duty,2020_people_per_sq_km,Income_deprivation_score_2019,GDP_2019,median_earnings_2020,median_house_price_2020 ,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired
201.000000 ,464.000000 ,0.073000 ,33036.000000 ,28632.000000 ,285500.000000 ,0.890000 ,0.010000 ,0.020000 ,0.010000 ,0.228900 ,0.139300 ,0.019900 ,0.233800 ,0.034800 ,0.069700 ,0.169200 ,0.039800 
680.000000 ,1897.000000 ,0.108000 ,28214.000000 ,30066.000000 ,365000.000000 ,0.810000 ,0.130000 ,0.010000 ,0.030000 ,0.130900 ,0.095600 ,0.026500 ,0.458800 ,0.038200 ,0.086800 ,0.114700 ,0.014700 
218.000000 ,1431.000000 ,0.097000 ,22231.000000 ,24808.000000 ,190000.000000 ,0.870000 ,0.010000 ,0.020000 ,0.020000 ,0.119300 ,0.119300 ,0.027500 ,0.302800 ,0.045900 ,0.206400 ,0.096300 ,0.027500 
516.000000 ,807.000000 ,0.203000 ,25815.000000 ,24480.000000 ,92000.000000 ,0.910000 ,0.010000 ,0.040000 ,0.030000 ,0.064000 ,0.052300 ,0.013600 ,0.403100 ,0.036800 ,0.046500 ,0.275200 ,0.025200 
731.000000 ,1917.000000 ,0.145000 ,21727.000000 ,26752.000000 ,177450.000000 ,0.790000 ,0.050000 ,0.070000 ,0.030000 ,0.123100 ,0.076600 ,0.024600 ,0.331100 ,0.075200 ,0.060200 ,0.156000 ,0.026000 
811.000000 ,581.000000 ,0.149000 ,25710.000000 ,27571.000000 ,146000.000000 ,0.830000 ,0.030000 ,0.060000 ,0.020000 ,0.070300 ,0.043200 ,0.039500 ,0.436500 ,0.080100 ,0.067800 ,0.156600 ,0.027100 
599.000000 ,3073.000000 ,0.077000 ,54174.000000 ,34624.000000 ,425000.000000 ,0.750000 ,0.050000 ,0.060000 ,0.040000 ,0.148600 ,0.118500 ,0.013400 ,0.320500 ,0.048400 ,0.070100 ,0.188600 ,0.006700 
1098.000000 ,12834.000000 ,0.141000 ,135264.000000 ,40772.000000 ,775000.000000 ,0.120000 ,0.230000 ,0.150000 ,0.120000 ,0.102900 ,0.110200 ,0.028200 ,0.231300 ,0.065600 ,0.036400 ,0.197600 ,0.013700 
178.000000 ,1287.000000 ,0.127000 ,24497.000000 ,26766.000000 ,168000.000000 ,0.900000 ,0.020000 ,0.010000 ,0.040000 ,0.168500 ,0.179800 ,0.011200 ,0.247200 ,0.000000 ,0.230300 ,0.123600 ,0.028100 
778.000000 ,540.000000 ,0.100000 ,23998.000000 ,27940.000000 ,306000.000000 ,0.880000 ,0.030000 ,0.020000 ,0.030000 ,0.078400 ,0.096400 ,0.019300 ,0.368900 ,0.084800 ,0.070700 ,0.163200 ,0.032100 
