homeless_rate,Income_deprivation_score_2019,GDP,earnings,house_price,white,Black / African / Caribbean / Black British: African,Asian/Asian_Britian,Mixed / Multiple ethnic groups,"Full-time
 work","Part-time
 work",Student / training,Registered unemployed,Not registered but seeking work,Not seeking work / at home,Not working due to long-term illness / disability,Retired,16-17,18-24,25-34,35-44,45-54,55-64,65-74,75+
5.885789434,0.136,2.9254,3.44 ,3.85 ,0.30 ,0.40 ,0.07 ,0.11 ,0.12 ,0.14 ,0.03 ,0.28 ,0.06 ,0.04 ,0.12 ,0.01 ,0.01 ,0.20 ,0.32 ,0.21 ,0.13 ,0.06 ,0.02 ,0.01 
5.403423455,0.085,3.3048,3.07 ,3.85 ,0.64 ,0.03 ,0.03 ,0.03 ,0.12 ,0.09 ,0.03 ,0.30 ,0.02 ,0.09 ,0.07 ,0.01 ,0.01 ,0.24 ,0.31 ,0.22 ,0.14 ,0.06 ,0.02 ,0.01 
6.619988455,0.153,2.7583,2.80 ,1.35 ,0.94 ,0.01 ,0.00 ,0.01 ,0.12 ,0.06 ,0.02 ,0.46 ,0.02 ,0.06 ,0.20 ,0.01 ,0.02 ,0.22 ,0.32 ,0.24 ,0.13 ,0.05 ,0.02 ,0.00 
8.547041828,0.158,3.2387,4.07 ,1.65 ,0.67 ,0.08 ,0.10 ,0.05 ,0.11 ,0.08 ,0.01 ,0.48 ,0.02 ,0.13 ,0.13 ,0.01 ,0.00 ,0.24 ,0.34 ,0.25 ,0.11 ,0.04 ,0.01 ,0.00 
3.327718097,0.068,2.6069,2.60 ,2.54 ,0.97 ,0.00 ,0.01 ,0.01 ,0.22 ,0.13 ,0.00 ,0.24 ,0.02 ,0.07 ,0.18 ,0.07 ,0.00 ,0.19 ,0.27 ,0.22 ,0.16 ,0.09 ,0.05 ,0.03 
5.313554039,0.166,2.2352,2.77 ,1.35 ,0.94 ,0.02 ,0.01 ,0.01 ,0.07 ,0.06 ,0.01 ,0.41 ,0.09 ,0.11 ,0.18 ,0.02 ,0.00 ,0.23 ,0.34 ,0.26 ,0.12 ,0.03 ,0.01 ,0.00 
3.557219629,0.088,2.414,3.00 ,2.90 ,0.94 ,0.01 ,0.01 ,0.01 ,0.12 ,0.11 ,0.02 ,0.22 ,0.06 ,0.08 ,0.22 ,0.03 ,0.01 ,0.23 ,0.29 ,0.19 ,0.13 ,0.09 ,0.03 ,0.01 
3.8898358,0.134,2.5139,3.56 ,2.45 ,0.94 ,0.01 ,0.01 ,0.01 ,0.10 ,0.09 ,0.02 ,0.33 ,0.05 ,0.10 ,0.20 ,0.04 ,0.02 ,0.26 ,0.30 ,0.18 ,0.13 ,0.08 ,0.02 ,0.02 
5.183597373,0.156,1.9781,2.89 ,1.76 ,0.79 ,0.05 ,0.05 ,0.03 ,0.14 ,0.07 ,0.01 ,0.61 ,0.02 ,0.02 ,0.08 ,0.02 ,0.00 ,0.25 ,0.34 ,0.22 ,0.11 ,0.05 ,0.02 ,0.01 
7.166341992,0.14,3.15,3.27 ,4.85 ,0.29 ,0.30 ,0.20 ,0.09 ,0.12 ,0.12 ,0.02 ,0.48 ,0.06 ,0.04 ,0.07 ,0.02 ,0.00 ,0.16 ,0.32 ,0.26 ,0.14 ,0.08 ,0.02 ,0.01 
3.869529984,0.081,2.248,2.79 ,2.83 ,0.98 ,0.00 ,0.01 ,0.01 ,0.17 ,0.15 ,0.04 ,0.24 ,0.02 ,0.07 ,0.21 ,0.06 ,0.04 ,0.22 ,0.31 ,0.17 ,0.13 ,0.08 ,0.04 ,0.02 
2.325618954,0.06,2.614,2.94 ,3.50 ,0.93 ,0.02 ,0.01 ,0.02 ,0.19 ,0.12 ,0.00 ,0.34 ,0.03 ,0.10 ,0.11 ,0.04 ,0.00 ,0.24 ,0.29 ,0.23 ,0.12 ,0.08 ,0.03 ,0.01 
3.037170754,0.06,3.2199,3.23 ,4.00 ,0.89 ,0.05 ,0.00 ,0.01 ,0.18 ,0.13 ,0.01 ,0.22 ,0.08 ,0.11 ,0.16 ,0.03 ,0.00 ,0.25 ,0.30 ,0.21 ,0.14 ,0.07 ,0.03 ,0.01 
1.18589398,0.096,2.4671,2.94 ,1.77 ,0.97 ,0.00 ,0.00 ,0.00 ,0.11 ,0.10 ,0.02 ,0.34 ,0.02 ,0.10 ,0.17 ,0.07 ,0.00 ,0.21 ,0.26 ,0.21 ,0.13 ,0.11 ,0.06 ,0.03 
2.241095573,0.103,3.4264,2.88 ,1.78 ,0.86 ,0.02 ,0.06 ,0.05 ,0.15 ,0.07 ,0.02 ,0.34 ,0.03 ,0.08 ,0.21 ,0.03 ,0.00 ,0.26 ,0.32 ,0.19 ,0.13 ,0.05 ,0.02 ,0.02 
4.473325798,0.112,2.5027,2.92 ,2.38 ,0.94 ,0.00 ,0.00 ,0.00 ,0.13 ,0.07 ,0.01 ,0.23 ,0.06 ,0.15 ,0.18 ,0.04 ,0.01 ,0.23 ,0.28 ,0.20 ,0.15 ,0.07 ,0.03 ,0.02 
2.043978749,0.066,3.7549,3.14 ,2.85 ,0.79 ,0.01 ,0.02 ,0.01 ,0.12 ,0.09 ,0.01 ,0.22 ,0.07 ,0.20 ,0.18 ,0.04 ,0.00 ,0.23 ,0.34 ,0.21 ,0.10 ,0.06 ,0.04 ,0.01 
2.250995275,0.07,3.1774,2.72 ,1.85 ,0.96 ,0.00 ,0.01 ,0.02 ,0.17 ,0.12 ,0.00 ,0.29 ,0.09 ,0.03 ,0.18 ,0.02 ,0.00 ,0.16 ,0.29 ,0.28 ,0.15 ,0.08 ,0.02 ,0.02 
2.259228218,0.057,5.0527,3.66 ,6.00 ,0.81 ,0.04 ,0.05 ,0.04 ,0.16 ,0.14 ,0.02 ,0.34 ,0.03 ,0.07 ,0.10 ,0.04 ,0.00 ,0.24 ,0.31 ,0.15 ,0.15 ,0.11 ,0.03 ,0.02 
5.710654192,0.171,2.8225,3.03 ,4.15 ,0.38 ,0.35 ,0.06 ,0.07 ,0.12 ,0.15 ,0.02 ,0.35 ,0.04 ,0.07 ,0.07 ,0.02 ,0.00 ,0.21 ,0.36 ,0.22 ,0.13 ,0.06 ,0.02 ,0.01 
2.882542084,0.091,3.5349,3.25 ,4.65 ,0.81 ,0.07 ,0.03 ,0.03 ,0.10 ,0.12 ,0.01 ,0.32 ,0.06 ,0.13 ,0.17 ,0.03 ,0.01 ,0.23 ,0.31 ,0.19 ,0.14 ,0.10 ,0.03 ,0.01 
